motion,label
0.101562 1.484375 1.218750 -82.054688 -134.390625 -39.757812 -95.929688 -176.125000 0.070312 0.765625 5.453125 -110.976562 -129.875000 -62.343750 -116.546875 -137.664062 -0.734375 5.421875 -19.367188 -122.914062 -113.101562 -81.242188 -123.726562 -143.203125,l
0.039062 0.843750 -2.359375 -17.109375 -58.015625 -160.593750 -157.281250 -112.101562 0.101562 -0.140625 4.109375 -43.406250 -88.406250 -148.679688 -109.171875 -73.765625 -0.375000 3.140625 -10.546875 -64.367188 -105.648438 -141.585938 -145.945312 -139.054688,l
0.015625 2.304688 -1.250000 -109.062500 -175.765625 -122.351562 -109.234375 -43.242188 -0.140625 2.523438 -3.273438 -127.718750 -128.304688 -96.562500 -21.640625 -18.609375 -0.585938 4.593750 -14.156250 -117.750000 -146.375000 -151.960938 -82.914062 -88.429688,l
0.015625 1.945312 -2.453125 -83.617188 -120.820312 -76.320312 -31.781250 -130.578125 -0.039062 0.812500 1.812500 -81.226562 -61.742188 -5.390625 -48.109375 -78.312500 -0.578125 4.148438 -11.695312 -119.789062 -129.257812 -59.328125 -137.335938 -116.632812,l
0.015625 2.304688 -6.164062 -72.640625 -36.304688 -88.148438 -140.085938 -71.992188 0.140625 -1.507812 7.414062 4.187500 -32.226562 -71.500000 -81.031250 -98.570312 -0.453125 2.523438 -9.632812 -30.960938 -115.132812 -137.601562 -63.617188 -48.421875,l
0.179688 -0.125000 6.296875 -37.226562 -143.859375 -96.585938 -64.500000 -109.304688 0.109375 -0.367188 5.875000 -52.179688 -81.078125 -88.539062 -124.976562 -107.484375 -0.750000 4.890625 -17.359375 -112.320312 -106.328125 -31.828125 -90.289062 -120.335938,l
0.039062 1.507812 -2.359375 -58.148438 -74.390625 -85.757812 -127.960938 -92.484375 0.007812 1.000000 1.125000 -69.648438 -109.218750 -134.320312 -46.007812 -36.187500 -0.367188 2.375000 -10.476562 -21.070312 -68.632812 -109.664062 -127.265625 -95.851562,l
0.066406 0.121094 4.042969 -35.148438 -123.906250 -108.363281 -87.289062 -96.667969 -0.195312 2.308594 -3.070312 -116.937500 -89.847656 -25.511719 -64.042969 -96.042969 -0.503906 3.812500 -13.429688 -80.921875 -127.750000 -106.921875 -105.042969 -123.496094,l
0.000000 1.742188 -2.156250 -77.289062 -94.781250 -93.460938 -97.554688 -94.320312 0.132812 -1.242188 7.382812 -12.015625 -49.617188 -90.625000 -82.875000 -62.257812 -0.398438 3.351562 -10.421875 -87.851562 -101.437500 -121.976562 -116.789062 -133.726562,l
0.109375 1.531250 -1.218750 -67.960938 -101.359375 -94.437500 -98.710938 -133.007812 -0.117188 0.546875 2.335938 -62.367188 -95.773438 -65.484375 -81.320312 -95.054688 -0.437500 3.804688 -10.804688 -104.960938 -124.015625 -124.828125 -121.125000 -101.203125,l
-0.046875 1.429688 -2.109375 -62.289062 -100.210938 -112.859375 -159.515625 -114.906250 -0.109375 0.437500 1.125000 -45.148438 -70.265625 -103.453125 -70.234375 -95.656250 -0.351562 3.046875 -7.679688 -88.859375 -138.859375 -98.414062 -113.093750 -113.695312,l
0.046875 1.976562 -2.945312 -73.125000 -148.726562 -143.882812 -76.046875 -91.664062 0.109375 0.007812 6.718750 -76.851562 -88.515625 -82.906250 -84.039062 -43.953125 -0.617188 4.171875 -15.500000 -75.382812 -112.242188 -113.156250 -109.031250 -102.335938,l
-0.183594 3.246094 -8.011719 -109.062500 -106.250000 -74.167969 -107.679688 -118.304688 0.054688 -0.730469 8.218750 -48.386719 -100.851562 -57.289062 -27.621094 -25.890625 -0.472656 4.300781 -14.265625 -91.703125 -117.906250 -102.410156 -87.531250 -56.914062,l
0.214844 0.402344 2.441406 -33.441406 -105.375000 -108.125000 -122.984375 -64.531250 0.074219 0.062500 3.113281 -43.589844 -43.871094 -17.992188 -66.425781 -66.750000 -0.496094 3.609375 -12.890625 -75.351562 -105.937500 -60.890625 -63.589844 -94.546875,l
