motion,label
12.054688 3.121094 7.347656 9.222656 36.421875 11.730469 -55.355469 -95.289062 22.734375 17.132812 21.000000 9.046875 -54.515625 -90.230469 -112.679688 -93.589844 13.371094 11.207031 10.503906 4.320312 -19.457031 -81.691406 -111.851562 -106.289062,l
-60.007812 -62.234375 -63.734375 -74.625000 -77.296875 -100.062500 -144.210938 -109.367188 -94.242188 -46.914062 -45.796875 -109.343750 -111.234375 -131.757812 -141.515625 -142.921875 -133.359375 -128.070312 -102.015625 -66.593750 -122.695312 -150.484375 -134.601562 -138.976562,l
-103.632812 -146.492188 -106.164062 -109.140625 -120.445312 -130.734375 -133.789062 -112.640625 -171.093750 -179.750000 -163.382812 -164.375000 -174.835938 -137.445312 -133.250000 -154.867188 -193.523438 -204.718750 -209.148438 -188.781250 -175.781250 -170.718750 -154.929688 -152.695312,l
-98.234375 -100.054688 -118.796875 -130.726562 -120.828125 -121.109375 -147.945312 -115.531250 -156.343750 -144.507812 -144.875000 -157.203125 -129.093750 -124.726562 -152.625000 -162.882812 -141.117188 -140.265625 -191.945312 -167.039062 -139.000000 -157.687500 -135.867188 -144.828125,l
-120.296875 -136.593750 -157.570312 -167.070312 -137.148438 -122.687500 -140.421875 -131.851562 -157.015625 -153.015625 -159.328125 -171.843750 -165.906250 -169.835938 -172.101562 -134.117188 -168.796875 -189.835938 -202.984375 -174.234375 -173.992188 -160.398438 -150.804688 -130.953125,l
-113.226562 -99.890625 -106.226562 -117.367188 -129.445312 -134.585938 -113.726562 -55.453125 -155.023438 -166.804688 -156.281250 -122.750000 -148.539062 -150.265625 -134.625000 -151.703125 -164.773438 -190.617188 -139.015625 -119.867188 -137.445312 -134.109375 -103.757812 -153.375000,l
-89.937500 -143.507812 -129.968750 -119.953125 -99.093750 -69.125000 -112.367188 -144.945312 -150.015625 -141.648438 -164.007812 -144.953125 -122.882812 -138.476562 -166.015625 -169.265625 -225.554688 -150.273438 -133.593750 -97.218750 -111.289062 -137.812500 -164.500000 -158.609375,l
-118.984375 -96.382812 -89.593750 -96.289062 -92.554688 -106.976562 -105.109375 -125.929688 -146.679688 -113.796875 -142.539062 -146.335938 -161.531250 -152.523438 -156.023438 -127.062500 -159.679688 -147.593750 -143.203125 -133.515625 -148.320312 -171.031250 -144.289062 -131.007812,l
-128.710938 -109.062500 -96.890625 -89.429688 -91.835938 -78.015625 -75.085938 -88.312500 -140.890625 -128.640625 -109.531250 -99.835938 -89.203125 -86.554688 -100.679688 -103.523438 -133.726562 -117.414062 -102.750000 -89.500000 -84.812500 -100.585938 -112.078125 -96.734375,l
-98.703125 -82.593750 -90.859375 -84.273438 -70.242188 -78.375000 -106.664062 -99.570312 -99.617188 -110.218750 -109.585938 -113.109375 -105.015625 -100.132812 -89.015625 -133.617188 -91.226562 -97.687500 -98.601562 -93.164062 -112.976562 -107.625000 -140.648438 -136.484375,l
