motion,label
12 27 11 6 15 -3 26 34 10 17 26 13 30 13 19 34 31 -36 -14 25 -45 -30 21 -10,n
28 19 -29 18 3 -48 39 -8 -60 36 31 -9 34 9 -20 28 -16 -55 -22 34 -29 9 8 12,n
-13 143 133 -15 133 17 -14 174 126 -36 98 72 -75 170 81 -50 120 161 -12 69 143 -29 42 102,r
177 -51 142 -53 -66 -34 -188 -47 33 -144 -125 7 61 -155 138 123 -113 61 47 -178 47 -59 -110 97,r
-89 19 57 -43 14 63 -8 7 86 46 -112 72 -67 -3 132 -20 -144 120 -21 57 7 -123 -62 -8,r
34 -85 176 15 -41 -7 -58 -81 8 -24 -55 38 2 -101 52 44 -88 88 19 -120 92 -40 -43 10,r
-81 -163 88 0 -181 43 -33 -151 31 52 -17 -8 -47 -132 -4 54 -56 31 -19 -159 69 -79 -147 -16,r
-78 -89 33 -9 -72 114 153 -99 21 96 23 49 53 -75 -21 -86 -24 -13 -39 -25 -81 0 -95 25,r
22 -173 72 48 -133 -34 22 -88 -2 -47 -88 -6 -39 -73 38 -6 -38 26 24 -111 17 141 -75 114,r
60 -71 16 92 -79 15 -6 -20 -8 -59 -105 -45 -83 -47 42 39 -140 -9 22 -83 36 50 -77 -25,r
-112 -125 -99 -31 -42 14 120 -21 -69 91 -106 31 35 1 140 40 -145 -98 -20 -69 -53 -45 -92 16,r
-81 -3 -49 43 -19 -59 80 -126 -124 89 -28 2 66 -50 -59 -79 -198 -26 -123 -101 34 174 -213 64,r
92 -18 -21 41 -30 -2 -10 5 -81 -18 -105 -75 35 -15 -71 154 -108 -23 4 66 -120 -48 -19 -146,r
136 -95 80 39 -120 -14 -109 -139 30 -118 -105 -44 13 -93 100 56 -101 72 -9 -121 46 -41 -87 -6,r
-27 -88 -21 102 -57 -15 110 -33 -65 88 -101 32 -30 -108 -106 -66 -91 -34 -43 -153 -58 -32 -157 27,r
-112 14 -175 -87 -103 -11 45 -105 -31 57 -54 79 107 -34 -16 74 -43 38 13 -55 -112 -106 -31 -40,r
63 -54 126 79 0 70 -141 4 140 68 -4 8 15 -6 -20 -60 -4 75 -58 26 -47 7 125 -24,r
-40 -96 60 -41 -13 -4 141 0 -44 162 0 113 56 34 -62 -136 -31 -40 -14 12 -19 159 -41 32,r
77 -54 -61 6 -73 193 -18 -56 -11 -57 -67 10 91 -120 106 -51 38 171 -59 -69 59 -15 41 81,r
20 -67 68 44 -88 -59 74 -38 63 -58 -26 -53 -113 -144 -75 -23 -54 8 199 -44 211 122 -149 -50,r
63 43 -125 5 -17 139 84 16 -34 -25 44 -151 -63 -25 -45 35 -44 56 175 140 47 -53 -27 -61,r
